1,819,M.S. Dhoni
2,805,M.E.K. Hussey
3,783,A.B. de Villiers
4,761,S.R. Tendulkar
5,757,C.H. Gayle
6,729,R.T. Ponting
7,718,G.C. Smith
8,712,J.H. Kallis
9,706,S. Chanderpaul
10,696,K.C. Sangakkara
11,693,V. Sehwag
12,685,T.M. Dilshan
13,683,Yuvraj Singh
14,677,P.D. Collingwood
15,655,S.K. Raina
16,654,Mohammad Yousuf
17,649,L.R.P.L. Taylor
18,646,B.B. McCullum
19,645,S.R. Watson
20,637,V. Kohli
21,636,M.J. Clarke
22,631,G. Gambhir
23,619,R.R. Sarwan
24,618,C.L. White
25,617,Tamim Iqbal
26,616,Shoaib Malik
27,611,E.J.G. Morgan
28,610,K.P. Pietersen
29,606,H.M. Amla
30,605,D.P.M.D. Jayawardene
31,604,Salman Butt
31,604,R.N. ten Doeschate
33,602,S.T. Jayasuriya
34,599,Shakib Al Hasan
35,585,J.P. Duminy
36,582,S.B. Styris
37,571,Younus Khan
38,567,M.J. Guptill
39,564,Umar Akmal
40,562,Misbah-ul-Haq
40,562,B.J. Haddin
42,559,I.R. Bell
43,544,M.V. Boucher
44,540,W.U. Tharanga
45,530,Kamran Akmal
45,530,A.J. Strauss
47,526,Shahid Afridi
48,522,H. Masakadza
49,518,J.D.P. Oram
50,509,E. Chigumbura
51,508,J.R. Hopes
51,508,Raqibul Hasan
53,506,B.R.M. Taylor
54,504,S.H.T. Kandamby
55,502,S.E. Marsh
56,495,T.T. Samaraweera
56,495,Mushfiqur Rahim
58,494,Rizwan Cheema
59,492,Mohammad Ashraful
60,491,A. Obanda
60,491,G.D. Elliott
62,487,L.P.C. Silva
63,486,K.J. O'Brien
64,485,C.J. Ferguson
65,483,S.C. Williams
65,483,J.D. Ryder
67,482,R.S. Bopara
68,481,J.M. How
69,478,T. Taibu
69,478,A. Bagai
71,476,R. Dravid
71,476,N.J. O'Brien
73,474,W.T.S. Porterfield
74,473,S. Matsikenyeri
75,472,Mahmudullah
76,470,A.N. Cook
77,459,D.L. Vettori
78,458,M.J. Prior
78,458,S.O. Tikolo
80,457,G.M. Hamilton
81,452,S. Dhaniram
82,445,K.D. Karthik
82,445,Naeem Islam
84,440,Abdul Razzaq
85,434,C.K. Kapugedera
86,427,C.K. Coventry
87,426,D.J. Bravo
88,424,R.G. Sharma
89,422,C.O. Obuya
90,419,N. Deonarine
91,418,T.M. Odoyo
92,417,M.N. Samuels
93,416,Imrul Kayes
94,410,R.R. Watson
95,408,L.J. Wright
96,406,D.O. Obuya
97,404,K.A. Pollard
97,404,J.A. Morkel
99,401,J.M. Davison
100,400,R.A. Jadeja
