1,790,S.R. Tendulkar
2,765,M.G. Bevan
3,763,Mohammad Yousuf
4,754,A.C. Gilchrist
4,754,J.H. Kallis
6,746,M.E. Trescothick
7,739,C.H. Gayle
8,736,R.T. Ponting
9,734,B.C. Lara
10,732,S.T. Jayasuriya
11,731,M.L. Hayden
12,722,R.R. Sarwan
13,686,H.H. Dippenaar
14,685,D.R. Martyn
15,683,S.C. Ganguly
15,683,H.H. Gibbs
17,682,V. Sehwag
18,676,M.S. Atapattu
19,658,R. Dravid
20,651,G.C. Smith
21,631,M.N. Samuels
22,610,G.W. Flower
22,610,S.P. Fleming
24,606,L. Klusener
25,605,N.J. Astle
26,601,Younus Khan
27,600,Inzamam-ul-Haq
28,597,D.S. Lehmann
29,595,Yuvraj Singh
30,586,A. Flintoff
31,579,A. Symonds
32,578,S. Chanderpaul
33,574,D.P.M.D. Jayawardene
33,574,W.W. Hinds
35,572,Shoaib Malik
36,570,Abdul Razzaq
37,568,K.C. Sangakkara
38,567,C.D. McMillan
39,561,R.P. Arnold
40,555,M. Kaif
41,550,N.D. McKenzie
41,550,P.D. Collingwood
43,547,C.L. Cairns
44,532,M.V. Boucher
45,529,R.L. Powell
46,528,M.P. Vaughan
47,518,Yasir Hameed
47,518,S.B. Styris
49,509,Alok Kapali
50,504,V.V.S. Laxman
51,500,S.O. Tikolo
52,498,D. Mongia
53,497,J.A. Rudolph
53,497,C.Z. Harris
55,489,Salim Elahi
56,486,H.H. Streak
57,484,S.V. Carlisle
58,471,R.D. Jacobs
59,462,Shahid Afridi
60,458,M.J. Clarke
60,458,S.M. Pollock
62,450,R.S. Kaluwitharana
63,444,N. Boje
63,444,D.A. Gunawardene
65,443,R.D. Shah
66,442,J.M. Davison
67,438,L. Vincent
68,434,T.M. Odoyo
69,428,M.S. Sinclair
70,423,C.J. Nevin
71,422,Imran Nazir
72,406,C.B. Wishart
73,404,D.D. Ebrahim
74,400,D. Ganga
75,393,K.O. Otieno
75,393,V.S. Solanki
77,391,J.D.P. Oram
78,378,A.J. Hall
79,370,H.K. Badani
80,368,H.S. Modi
81,363,Habibul Bashar
82,357,Khaled Mahmud
82,357,G.B. Hogg
84,356,A.R. Adams
85,352,Rajin Saleh
86,350,A.M. Blignaut
87,346,T.J. Friend
87,346,S.M. Ervine
87,346,Misbah-ul-Haq
90,342,B.B. McCullum
91,338,T. Taibu
92,337,Moin Khan
93,335,Tushar Imran
93,335,G.M. Hamilton
95,328,Khaled Masud
96,321,U.D.U. Chandana
96,321,Taufeeq Umar
98,320,J.P. Maher
99,317,I.J. Harvey
100,316,Mohammad Hafeez
