1,819,M.S. Dhoni
2,805,M.E.K. Hussey
3,798,A.B. de Villiers
4,761,S.R. Tendulkar
5,756,C.H. Gayle
6,729,R.T. Ponting
7,714,J.H. Kallis
8,708,G.C. Smith
9,699,S. Chanderpaul
10,696,K.C. Sangakkara
11,693,V. Sehwag
12,685,T.M. Dilshan
13,683,Yuvraj Singh
14,682,H.M. Amla
15,677,P.D. Collingwood
16,655,S.K. Raina
17,654,Mohammad Yousuf
18,649,L.R.P.L. Taylor
19,646,B.B. McCullum
20,645,S.R. Watson
21,637,V. Kohli
22,636,M.J. Clarke
23,631,G. Gambhir
24,618,C.L. White
25,617,Tamim Iqbal
26,616,Shoaib Malik
27,613,R.R. Sarwan
28,611,E.J.G. Morgan
29,610,K.P. Pietersen
30,605,D.P.M.D. Jayawardene
31,604,Salman Butt
31,604,R.N. ten Doeschate
33,602,S.T. Jayasuriya
34,599,Shakib Al Hasan
35,582,S.B. Styris
36,575,J.P. Duminy
37,571,Younus Khan
38,567,M.J. Guptill
39,564,Umar Akmal
40,562,Misbah-ul-Haq
40,562,B.J. Haddin
42,559,I.R. Bell
43,540,W.U. Tharanga
44,539,M.V. Boucher
45,530,A.J. Strauss
45,530,Kamran Akmal
47,526,Shahid Afridi
48,522,H. Masakadza
49,518,J.D.P. Oram
50,509,E. Chigumbura
51,508,Raqibul Hasan
51,508,J.R. Hopes
53,506,B.R.M. Taylor
54,504,S.H.T. Kandamby
55,502,S.E. Marsh
56,495,T.T. Samaraweera
56,495,Mushfiqur Rahim
58,494,Rizwan Cheema
59,492,Mohammad Ashraful
60,491,G.D. Elliott
60,491,A. Obanda
62,487,L.P.C. Silva
63,486,K.J. O'Brien
64,485,C.J. Ferguson
65,483,S.C. Williams
65,483,J.D. Ryder
67,482,R.S. Bopara
68,481,J.M. How
69,478,T. Taibu
69,478,A. Bagai
71,476,N.J. O'Brien
71,476,R. Dravid
73,474,W.T.S. Porterfield
74,473,S. Matsikenyeri
75,472,Mahmudullah
76,470,A.N. Cook
77,459,D.L. Vettori
78,458,M.J. Prior
78,458,S.O. Tikolo
80,456,D.J. Bravo
81,454,G.M. Hamilton
82,452,S. Dhaniram
83,445,K.D. Karthik
83,445,Naeem Islam
85,440,Abdul Razzaq
86,434,C.K. Kapugedera
87,433,K.A. Pollard
88,431,D.J.G. Sammy
89,427,C.K. Coventry
90,424,R.G. Sharma
91,422,C.O. Obuya
92,418,T.M. Odoyo
93,416,Imrul Kayes
94,413,M.N. Samuels
95,412,N. Deonarine
96,408,R.R. Watson
96,408,L.J. Wright
98,406,D.O. Obuya
99,401,J.M. Davison
100,400,A.D. Mathews
