1,892,B.C. Lara
2,872,M.G. Bevan
3,851,S.R. Tendulkar
4,801,P.A. de Silva
5,774,M.E. Waugh
6,760,S.T. Jayasuriya
6,760,W.J. Cronje
8,758,G. Kirsten
9,751,Saeed Anwar
10,747,N.J. Astle
11,743,C.L. Hooper
12,742,S.C. Ganguly
13,731,A. Ranatunga
14,726,N.V. Knight
15,724,R.T. Ponting
16,710,M. Azharuddin
17,705,G.W. Flower
18,704,M.S. Atapattu
19,703,G.P. Thorpe
20,701,G.A. Hick
21,699,J.N. Rhodes
22,695,J.H. Kallis
23,694,A.J. Stewart
24,681,D.J. Cullinan
25,680,S.C. Williams
26,658,S. Chanderpaul
27,656,S.P. Fleming
28,649,A. Jadeja
29,647,Inzamam-ul-Haq
30,640,Ijaz Ahmed, sen.
31,635,S.R. Waugh
32,606,A.C. Gilchrist
33,591,A. Flower
34,590,Shahid Afridi
35,589,S.M. Pollock
36,577,R.S. Mahanama
37,573,L. Klusener
38,572,C.L. Cairns
39,555,Salim Malik
40,552,A.D.R. Campbell
41,551,C.Z. Harris
42,550,R. Dravid
42,550,N.H. Fairbrother
42,550,A.C. Parore
45,532,Aamir Sohail
46,530,P.V. Simmons
47,512,S.G. Law
48,510,R.R. Singh
49,498,Moin Khan
50,490,N.S. Sidhu
51,482,R.S. Kaluwitharana
52,481,C.D. McMillan
53,480,G.J. Whittall
54,477,M.W. Goodwin
55,472,P.A. Strang
56,467,C.B. Lambert
57,466,B.A. Young
58,464,D.S. Lehmann
59,463,V.G. Kambli
60,459,H.P. Tillekeratne
61,450,S.L. Campbell
62,439,A.D. Brown
63,438,K.L.T. Arthurton
63,438,P.L. Symcox
63,438,H.D.P.K. Dharmasena
66,437,J.C. Adams
67,422,M.O. Odumbe
68,419,A.J. Hollioake
69,413,K.O. Otieno
70,409,H.S. Modi
70,409,J.R. Murray
72,401,Aminul Islam
73,400,M.J.R. Rindel
74,397,S.O. Tikolo
75,395,C.B. Wishart
76,383,Mohammad Wasim
77,379,C.N. Evans
78,378,R.G. Twose
79,373,N.R. Mongia
79,373,R.D. Shah
81,371,G.S. Blewett
82,370,H.H. Streak
83,361,Wasim Akram
84,348,D.N. Chudasama
85,342,H.H. Kanitkar
86,330,M.A. Ealham
87,329,T.M. Moody
88,321,G.J. Rennie
88,321,M.J. Horne
90,317,M.R. Ramprakash
91,316,Mohammad Yousuf
92,315,S.K. Warne
93,313,W.P.U.J.C. Vaas
94,307,K.J.J. van Noortwijk
95,306,Akram Khan
96,299,C.M. Spearman
97,298,A.C. Cummins
98,297,P.R. Reiffel
99,291,Salim Elahi
99,291,G.R. Larsen
